Authority,Education,Social services,Council fund housing and housing benefit,Local environmental services,Roads and transport,"Libraries, culture, heritage, sport and recreation",Planning and economic development,Law and order and protective services,Council tax benefit and administration,Other revenue expenditure,Total,Coorindates N,Coorindates W
Blaenau Gwent ,£880,£803,£342,£150,£78,£87,£40,£0,£24,£154,"£2,557",51.7876,3.2044
Bridgend ,£936,£580,£325,£106,£81,£61,£34,£0,£7,£158,"£2,290",51.5043,3.5769
Caerphilly ,£928,£610,£303,£119,£83,£81,£15,£0,£6,£155,"£2,301",51.5788,3.2181
Cardiff ,£906,£589,£411,£117,£64,£41,£6,£0,£23,£138,"£2,294",51.4816,3.1791
Carmarthenshire ,£882,£633,£284,£128,£86,£66,£38,£0,£17,£155,"£2,289",51.8572,4.3116
Ceredigion ,£889,£709,£242,£134,£166,£67,£35,£0,£17,£213,"£2,471",52.2191,3.9321
Conwy ,£854,£697,£315,£123,£69,£90,£20,£0,£15,£188,"£2,371",53.2829,3.8295
Denbighshire ,"£1,033",£634,£337,£109,£100,£91,£14,£0,£21,£219,"£2,559",53.1842,3.4225
Flintshire ,£850,£594,£235,£106,£119,£54,£11,£0,£2,£142,"£2,114",53.1669,3.1419
Gwynedd ,£873,£685,£289,£158,£124,£54,£33,£0,£8,£185,"£2,409",52.9277,4.1335
Isle of Anglesey ,£895,£615,£342,£159,£114,£61,£42,£0,£15,£169,"£2,412",53.2653,4.4291
Merthyr Tydfil ,£917,£674,£351,£137,£84,£75,£79,£0,£12,£202,"£2,531",51.7487,3.3816
Monmouthshire ,£759,£575,£234,£110,£55,£69,£15,£0,£10,£125,"£1,952",51.8116,2.7163
Neath Port Talbot ,£884,£694,£360,£148,£96,£72,£50,£0,£18,£200,"£2,522",51.5947,3.7841
Newport ,£939,£720,£314,£88,£78,£60,£33,£0,£4,£239,"£2,475",51.5842,2.9977
Pembrokeshire ,£841,£623,£252,£118,£90,£51,£20,£0,£29,£203,"£2,228",51.6741,4.9089
Powys ,£854,£807,£246,£126,£102,£40,£22,£0,£28,£137,"£2,362",52.6464,3.3261
Rhondda Cynon Taf ,£929,£740,£304,£154,£73,£78,£36,£0,£9,£217,"£2,539",51.649,3.4289
Swansea ,£848,£602,£350,£90,£89,£78,£12,£0,£6,£203,"£2,278",51.6214,3.9436
Torfaen ,£957,£601,£340,£123,£86,£80,£40,£0,£10,£159,"£2,396",51.7002,3.0446
Vale of Glamorgan ,£923,£537,£290,£128,£69,£47,£19,£0,£25,£102,"£2,140",51.3998,3.2826
Wrexham ,£838,£613,£287,£157,£66,£55,£24,£0,£8,£164,"£2,211",53.043,2.9925
